contract,line
AccountCreator_822.xlsx,736
AdminUpgradeabilityProxy_4857.xlsx,12
AppProxyUpgradeable_2399.xlsx,803
AToken_2035.xlsx,878
CompoundManager_2842.xlsx,460
DarkCountry_166.xlsx,1360
DeltaTimeInventory_913.xlsx,1475
DharmaKeyRingFactoryV2_3976.xlsx,110
DharmaSmartWalletFactoryV1_4707.xlsx,32
DinngoProxy_3182.xlsx,121
DSSLeverage_311.xlsx,343
Exchange_5101.xlsx,3265
F1DeltaCrate_911.xlsx,1072
LinkdropFactory_4753.xlsx,643
MaiProtocol_2737.xlsx,306
MakerManager_2841.xlsx,449
MakerV2Manager_2847.xlsx,375
ManagerProxy_1995.xlsx,185
Payroll_3365.xlsx,72
Proxy_959.xlsx,3
ProxyFactory_2261.xlsx,19
RelayHub_5451.xlsx,5
RebalancingSetExchangeIssuanceModule_5123.xlsx,588
SignedOperationProxy_4814.xlsx,1069
TokenProxy_289.xlsx,40
TokenProxy_3653.xlsx,468
TotlePrimary_698.xlsx,231
TransferManager_2850.xlsx,307
Version_1080.xlsx,9
